"Story","Title","Result","Date","Stability","Duration (s)"
"Informatio det individual user","Send information get individual user with response success","ERROR","2022-02-11T14:50:42.282-05:00[America/Bogota]","0.0","0.2"
"Information det individual user","Send information get individual user with response success","SUCCESS","2022-02-14T19:09:06.985-05:00[America/Bogota]","0.0","7.02"
